m1,m2,m3,m4
0.631423333,0.691516667,0.613256667,0.594637931
1.063983333,0.759716667,0.915203333,1.2527
0.614113333,0.428846667,0.544363333,0.478424138
0.403536667,0.298376667,0.290366667,0.291537931
2.285476667,2.25173,1.197796667,1.099396552
0.419927586,0.43335,0.484903333,0.411386667
0.7232,0.610206897,0.765636667,0.653916667
1.55372,1.053153333,1.590717241,1.016036667
1.219036667,0.638656667,0.477156667,0.439589655
0.725341379,0.86287,0.878856667,0.71832
0.542326667,0.489248276,0.564586667,0.475216667
0.67007,0.76443,0.609841379,0.654213333
0.782956667,0.59267,0.731193333,0.732627586
0.932158621,0.978243333,0.99254,0.923186667
2.187893333,1.282386207,2.02769,1.056456667
1.139753333,0.72189,0.98437931,0.81024
