"","紫魔芋","鲜鹅蛋","生木瓜","热茶油","苦杏仁","白松露","轻断食","豆蛋白","芭蕉叶","绿芒果","黑枸杞","冷泡茶","浓姜汁","鸡蛋清","普洱茶","弱碱水","蜂王浆","蛇毒膏","钟乳石","碳纤维","芦荟胶","粉水晶","番石榴","排卵针","豌豆荚","弹力丝","白细胞","强脉冲","淡盐水","复写纸","芦苇坡","胆固醇","微生物","紫外光","负离子","冷光波","超微波","老蜂蜜","苦瓜素","西葫芦","猕猴桃","花椰菜","芦荟肉","山核桃","薏米仁","黑玛咖","胡萝卜","紫甘蓝","板蓝根","酵母粉","茶多酚","咖啡碱","益生菌","橄榄油","番茄汁","红霉素","茼蒿叶","童子鸡","鹤顶红","玉米粉","碳微粒","薰衣草","百合干","蜈蚣酒","白莲子","可可脂","鲨鱼皮","鸡内金","山楂皮","蚯蚓粉","生长素","骨胶原","松柏树","香椿芽","紫米糊","大麦茶","米酒糟","秋海棠","牵牛花","鸡尾酒","椰子油","枇杷膏","青草膏","牛骨髓","虫草花","棕榈油","海葡萄","破壁机","全彩屏","冷却剂","碳排放","老陈醋","助推器","电磁波","紫外线","吸血虫","脑电波","避雷针","保鲜膜","人工肾","新动力","互联网","蓝色光","声控灯","水蒸气","巴沙鱼","双面胶","大气层","等离子","速度表","西瓜霜","柚子皮","超声波","猪血糕","冷凝剂","蓖麻油","蚕茧丝","体重计","太子参"
"1",2,2,5,3,4,2,3,4,4,4,4,5,5,5,4,2,5,3,4,3,5,2,5,4,4,3,3,3,4,5,1,4,4,4,4,1,1,4,3,3,5,3,4,5,4,1,5,5,5,5,4,1,4,4,5,4,5,4,4,4,2,4,4,3,4,4,3,1,3,1,3,4,4,1,4,4,4,2,4,4,3,4,5,3,5,4,1,4,4,4,4,5,3,4,5,3,4,4,4,3,3,5,3,5,5,2,5,5,2,5,5,5,4,2,4,1,2,5,1
"2",4,4,5,4,5,5,5,4,5,5,4,4,5,5,5,4,4,3,4,5,5,4,5,2,5,4,5,4,5,5,3,5,5,3,5,3,4,4,3,5,5,5,5,4,5,2,5,4,5,4,3,3,5,5,5,5,5,5,5,5,2,5,5,3,4,5,5,1,5,3,5,4,5,4,4,5,5,5,5,5,5,5,4,4,5,4,3,5,5,4,5,5,5,5,5,4,5,5,5,3,5,5,3,5,5,5,5,5,5,5,5,5,5,3,3,4,4,5,2
"3",3,4,5,2,5,5,1,5,5,3,4,3,5,5,5,3,2,1,5,5,5,1,5,2,5,3,5,3,5,5,3,4,5,3,4,1,1,4,1,4,5,4,4,5,5,1,5,2,5,4,4,1,5,4,5,4,5,4,4,4,1,5,3,4,5,2,4,1,4,2,5,1,5,3,4,5,4,3,5,5,3,4,3,4,5,4,1,5,4,4,5,5,4,4,5,3,5,5,5,3,4,5,5,5,5,1,5,5,3,4,5,5,5,1,3,1,1,5,1
"4",3,4,4,4,4,3,3,3,4,4,4,4,4,4,4,2,4,2,4,3,4,4,4,2,4,3,4,3,4,4,3,4,4,4,4,3,2,3,2,4,4,4,4,4,4,1,4,4,4,4,4,2,4,4,4,4,3,4,4,4,3,4,4,3,4,2,4,1,3,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,2,4,4,4,4,4,4,4,4,4,2,5,4,4,4,4,4,4,3,3,4,4,4,4,3,3,4,4,3
"5",3,2,2,2,1,3,3,1,5,1,4,2,5,4,4,2,2,2,4,1,5,2,5,2,2,2,5,3,4,4,3,4,5,3,3,2,3,3,1,3,5,3,3,3,4,1,5,2,5,3,4,2,4,4,5,4,2,3,3,3,2,5,2,2,1,5,2,1,4,2,4,2,3,2,1,4,1,2,3,4,2,3,4,3,3,4,2,1,2,3,4,4,2,4,5,4,3,5,5,4,3,5,3,2,5,2,5,5,2,3,5,5,4,2,2,2,1,5,1
"6",3,4,4,1,1,2,4,4,3,4,3,3,4,5,5,3,4,1,1,4,4,2,5,4,4,4,4,3,5,5,2,5,4,4,3,3,2,3,3,4,5,4,4,3,4,1,5,4,5,3,3,3,4,4,5,4,4,4,1,4,3,5,3,3,5,5,4,1,5,1,4,1,4,5,3,5,3,2,4,4,4,4,3,4,5,2,1,1,5,4,5,5,5,3,5,3,3,4,5,4,3,5,4,5,5,4,5,4,3,4,4,5,4,1,3,1,4,5,4
"7",3,1,3,2,4,2,4,4,5,4,5,3,5,5,5,3,5,3,4,4,5,4,5,4,5,2,5,3,5,4,4,5,5,3,5,1,2,3,2,5,5,4,4,5,5,2,5,4,5,4,3,3,4,5,5,3,3,4,4,5,2,5,3,3,5,5,5,1,5,1,5,2,5,4,4,5,4,2,5,4,5,4,5,4,4,4,2,4,3,4,5,4,3,5,5,5,5,5,5,4,2,5,2,5,5,5,5,5,2,2,5,5,5,2,5,3,4,5,1
"8",4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,3,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,3,5,5,4,5,5,5,5,4,5,2,5,5,5,4,4,4,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,2,5,4,5,3,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,4,5,5,5,5,5,3,5,4,4,5,3,4,3,4,5,4
"9",4,4,5,3,5,3,1,2,5,4,4,4,5,5,5,4,3,1,4,5,5,3,5,3,4,4,5,3,4,5,4,5,5,4,5,2,3,4,3,5,5,5,4,4,5,3,5,4,5,5,4,4,5,5,5,4,3,5,3,4,3,5,4,5,5,5,4,1,5,1,5,4,4,2,4,5,5,5,5,5,4,5,2,4,4,3,3,4,4,5,4,5,4,5,4,4,5,5,5,4,3,5,2,5,5,5,5,5,3,4,4,5,5,1,5,2,4,5,4
"10",3,5,5,1,5,4,5,4,5,5,4,5,5,5,5,2,3,3,4,4,5,4,5,5,5,2,4,3,2,4,2,4,4,3,3,2,2,4,2,5,5,5,4,3,5,1,5,5,5,3,4,2,5,5,5,4,1,5,3,5,1,5,4,5,4,4,3,1,5,1,4,2,2,3,3,5,5,4,5,5,5,5,4,5,5,2,5,5,4,3,5,5,5,3,5,4,5,5,5,2,4,5,4,5,5,5,5,3,3,4,4,4,3,3,2,3,1,5,1
