"","环己肽","环糊精","石蜡油","亮氨酸","异丙醇","乙酰胺","甲铝钒","肽元酶","白三烯","酰二肽","丝蛋白","藻蛋白","类毒素","胶体金","氨咪唑","组蛋白","钙黏酶","胶原素","硫胺素","苯甲酸","视黄醇","生育酚","丙酮酸","异构酶","糖激酶","肉毒碱","烯脂酰","羟脂酰","磷酸铝","脱氢酶","酮脂酰","软脂酸","羟丁酸","蝶呤啶","脂质体","丙酮酶","琥珀酰","转硫酶","酮胺酰","羧化酶","磷脂酸","异肌醇","乙醇胺","角鲨烯","乳糜粒","脂蛋白","氨肽酶","羧肽酶","芳基醇","端肽酶","戊二酸","色胺酸","胱氨酸","精氨酸","裂解酶","醛缩酶","异己糖","草酰氨","焦磷酸","酰酐酸","延胡索","裂解肽","乳清酸","黄嘌呤","异丁酸","琥珀胺","别嘌呤","氟嘧啶","单酰酶","葡糖酸","赖氨酸","酪氨酸","聚氨酯","木质素","三乙胺","正戊烷","热重仪","多元醇","异氰酯","聚醚醇","苯乙烯","丙烯腈","聚乙醇","碳酸酯","光伏瓦","太赫兹","磁偶极","解耦壁","静磁场","氧化钒","钛酸锶","协振环","窄脉冲","泵浦光","衰减子","弱核力","黄道面","多脉冲","麻沸散","儒略日","共轭法","蠕变弧","海绵钛","酚醛脂","双噁唑","膨化肽","脉冲星","吸积盘","弦景观","碳酸锂","槲皮素","成孔剂","瘿绵牙","多芳烃","硝基芘","纳米锆","衍射仪","阱光子"
"1",1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,4,3,1,2,1,3,2,1,1,2,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1
"2",1,1,4,1,2,1,1,1,1,1,3,3,2,2,1,3,1,3,1,1,1,2,1,1,1,1,1,1,3,2,1,1,1,1,1,1,2,1,1,2,1,1,3,1,2,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,2,1,1,1,1,2,1,1,1,2,1,1,2,2,1,2,1,1,3,2,3,2,1,1,3,1,1,1,5,1,1,1,2,4,5,1,1,1,1,1,1,1,1,2,2,3,1,3,1,1,1,1,2,2
"3",1,1,3,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4",2,2,4,3,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,3,2,2,2,3,3,2,2,2,2,2,2,1,2,3,2,2,2,2,2,3,2,2,1,1,2,2,2,2,2,3,2,1,2,2,2,1,2,2,2,1,1,2,3,2,2,2,1,2,3,3,3,2,1,2,1,3,2,1,2,2,2,3,2,2,1,1,3,3,2,1,2,2,1,2,2,2,3,4,1,1,1,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1
"5",1,2,2,1,3,1,2,1,1,1,1,2,2,1,2,1,2,2,2,1,3,2,1,1,2,3,2,2,2,2,1,1,1,2,1,2,2,1,1,2,1,1,1,1,2,2,1,1,1,2,2,1,2,1,1,2,2,2,2,1,2,1,2,2,1,2,2,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,3,1,2,1,2,1,1,3,1,1,2,2,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,1,1,1,1,2,2
"6",1,2,4,3,1,2,3,1,1,1,1,3,2,1,1,3,1,1,1,1,3,1,2,3,1,2,1,1,3,1,1,1,3,1,1,1,1,2,2,3,2,3,1,1,1,3,2,2,3,1,2,1,3,3,2,1,2,1,2,1,1,1,2,1,1,1,1,3,1,1,3,2,2,1,1,2,1,1,1,1,1,2,3,3,3,1,1,1,4,4,1,1,1,1,1,1,1,3,3,1,2,1,1,3,1,1,2,3,1,1,1,1,1,2,1,1,1,1
"7",3,3,5,5,4,3,2,1,2,3,2,3,2,1,2,3,1,2,2,3,4,2,5,2,2,4,1,2,4,4,2,2,5,1,3,2,1,2,2,4,4,1,3,3,1,2,2,3,3,3,3,4,3,4,3,1,3,2,2,2,1,1,3,2,3,1,2,1,2,2,5,5,4,2,2,5,1,3,5,3,3,2,3,2,1,2,1,1,5,5,1,1,2,1,1,1,2,3,1,1,5,2,2,1,1,2,5,2,1,4,1,1,1,4,2,1,3,1
"8",3,3,5,3,3,2,2,2,2,1,3,3,4,2,1,3,2,2,2,3,4,3,2,3,2,1,1,2,4,1,2,2,2,4,3,2,2,2,3,2,2,1,2,4,2,3,3,1,1,2,2,3,3,2,3,2,1,3,2,2,3,2,2,4,2,2,5,2,2,2,3,3,3,2,2,3,3,2,3,2,3,2,3,2,1,1,2,2,4,4,2,2,3,2,2,3,3,4,5,1,2,1,1,3,3,1,1,3,1,2,3,5,1,4,2,1,3,1
"9",4,1,4,3,4,3,1,1,2,3,1,3,1,1,1,1,2,2,1,5,3,1,4,1,2,4,1,2,4,5,3,2,4,1,2,1,1,2,1,3,4,1,3,2,2,4,3,3,3,3,4,4,2,3,4,3,2,3,1,3,2,1,4,3,4,3,3,3,3,4,4,4,4,2,4,1,4,4,1,3,5,3,5,5,3,1,1,1,4,4,2,3,2,1,1,2,2,3,5,1,4,1,1,4,1,3,1,2,1,3,3,4,1,3,1,3,3,1
"10",1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,4,1,1,1,1,2,2,1,1,3,1,2,1,4,1,1,1,1,1,2,1,1,1,1,2,4,1,1,2,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1
